id,name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NOD,Hideki Noda,,,,,,,,larrousse,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,Lando Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mclaren
OCO,Esteban Ocon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manorracing,forceindia,racingpointforceindia,
PAL,Jolyon Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,renault,renault,,
PAN,Giorgio Pantano,,,,,,,,,,,,,,,,,,jordan,,,,,,,,,,,,,,,
PAN,Olivier Panis,,,,,,,,ligier,ligier,ligier,prost,prost,prost,,bar,bar,toyota,toyota,,,,,,,,,,,,,,,
PAP,Massimiliano Papis,,,,,,,,,footwork,,,,,,,,,,,,,,,,,,,,,,,,
PAT,Riccardo Patrese,brabham+williams,williams,williams,williams,williams,williams,benetton,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,Sergio Perez,,,,,,,,,,,,,,,,,,,,,,,,,sauber,sauber,mclaren,forceindia,forceindia,forceindia,forceindia,racingpointforceindia,racingpoint
PET,Vitaly Petrov,,,,,,,,,,,,,,,,,,,,,,,,renault,renault,caterham,,,,,,,
PIC,Charles Pic,,,,,,,,,,,,,,,,,,,,,,,,,,marussia,caterham,,,,,,
PIQ,Nelson Piquet,williams,teamlotus,teamlotus,benetton,benetton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIQ,Nelson Piquet Jr.,,,,,,,,,,,,,,,,,,,,,,renault,renault,,,,,,,,,,
PIR,Emanuele Pirro,,,benetton,dallara,dallara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIZ,Antônio Pizzonia,,,,,,,,,,,,,,,,,jaguar,williams,williams,,,,,,,,,,,,,,
POE,Eric van de Poele,,,,,lambo,brabham+fondmetal,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO,Alain Prost,mclaren,mclaren,mclaren,ferrari,ferrari,,williams,,,,,,,,,,,,,,,,,,,,,,,,,,
RAI,Kimi Räikkönen,,,,,,,,,,,,,,,sauber,mclaren,mclaren,mclaren,mclaren,mclaren,ferrari,ferrari,ferrari,,,lotusf1,lotusf1,ferrari,ferrari,ferrari,ferrari,ferrari,alpharomeo
RAY,Roland Ratzenberger,,,,,,,,simtek,,,,,,,,,,,,,,,,,,,,,,,,,
RIC,Daniel Ricciardo,,,,,,,,,,,,,,,,,,,,,,,,,hrt,torrorosso,torrorosso,redbull,redbull,redbull,redbull,redbull,renault
ROS,Nico Rosberg,,,,,,,,,,,,,,,,,,,,williams,williams,williams,williams,mercedes,mercedes,mercedes,mercedes,mercedes,mercedes,mercedes,,,
DLR,Pedro de la Rosa,,,,,,,,,,,,,arrows,arrows,jaguar,jaguar,,,mclaren,mclaren,,,,bmwsauber,sauber,hrt,,,,,,,
ROS,Ricardo Rosset,,,,,,,,,,footwork,mastercardlola,tyrrell,,,,,,,,,,,,,,,,,,,,,
RSC,Ralf Schumacher,,,,,,,,,,,jordan,jordan,williams,williams,williams,williams,williams,williams,toyota,toyota,toyota,,,,,,,,,,,,
RSI,Alexander Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manorracing,,,,
RUS,George Russel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams
SAI,Carlos Sainz Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,torrorosso,torrorosso,torrorosso+renault,renault,mclaren
SAL,Mika Salo,,,,,,,,teamlotus,tyrrell,tyrrell,tyrrell,arrows,bar+ferrari,sauber,,toyota,,,,,,,,,,,,,,,,,
SAR,Stéphane Sarrazin,,,,,,,,,,,,,minardi,,,,,,,,,,,,,,,,,,,,
SAT,Takuma Sato,,,,,,,,,,,,,,,,jordan,bar,bar,bar,superaguri,superaguri,superaguri,,,,,,,,,,,
SCH,Bernd Schneider,,zakspeed,zakspeed,arrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH,Domenico Schiattarella,,,,,,,,simtek,simtek,,,,,,,,,,,,,,,,,,,,,,,,
